Name	Group	Profile	Enabled	Action	Override	Program	Local Address	Remote Address	Protocol	Local Port	Remote Port	Authorized Users	Authorized Computers	Authorized Local Principals	Local User Owner	PolicyAppId	Application Package	
360TsLiveUpd.exe		Public	Yes	Allow	No	C:\Program Files (x86)\360\Total Security\360TsLiveUpd.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
360TsLiveUpd.exe		Public	Yes	Allow	No	C:\Program Files (x86)\360\Total Security\360TsLiveUpd.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
AnyDesk		Public	Yes	Allow	No	C:\Program Files (x86)\AnyDesk\AnyDesk.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
AnyDesk		Domain	Yes	Allow	No	C:\Program Files (x86)\AnyDesk\AnyDesk.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
AnyDesk		Public	Yes	Allow	No	C:\Program Files (x86)\AnyDesk\AnyDesk.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
AnyDesk		Domain	Yes	Allow	No	C:\Program Files (x86)\AnyDesk\AnyDesk.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
AnyDesk		Private	Yes	Allow	No	C:\Program Files (x86)\AnyDesk\AnyDesk.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
AnyDesk		Private	Yes	Allow	No	C:\Program Files (x86)\AnyDesk\AnyDesk.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
ArmouryHtmlDebugServer		All	Yes	Allow	No	C:\Program Files (x86)\ASUS\ArmouryDevice\dll\ArmourySocketServer\ArmouryHtmlDebugServer.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
ArmourySocketServer		All	Yes	Allow	No	C:\Program Files (x86)\ASUS\ArmouryDevice\dll\ArmourySocketServer\ArmourySocketServer.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
AsusLinkRemoteAgent		Private, Public	Yes	Allow	No	C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_4fc38a913e0f2ea5\ASUSLinkRemote\AsusLinkRemoteAgent.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
AsusLinkRemoteAgent		Private, Public	Yes	Allow	No	C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_4fc38a913e0f2ea5\ASUSLinkRemote\AsusLinkRemoteAgent.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
AsusSwitchNetMDNS_269A2EB3		Private, Public	Yes	Allow	No	C:\WINDOWS\System32\DriverStore\FileRepository\asussci2.inf_amd64_cceffaf9805aa134\ASUSSwitch\AsusSwitchNetMDNS.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
AutoConnectHelper TCP		All	Yes	Allow	No	C:\Program Files\ASUS\ARMOURY CRATE Service\MobilePlugin\AutoConnectHelper.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
AutoConnectHelper TCP		All	Yes	Allow	No	C:\Program Files\ASUS\ARMOURY CRATE Service\MobilePlugin\AutoConnectHelper.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
AutoConnectHelper UDP		All	Yes	Allow	No	C:\Program Files\ASUS\ARMOURY CRATE Service\MobilePlugin\AutoConnectHelper.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
block port 80,443,21 Test		All	Yes	Block	No	Any	Any	Any	TCP	80, 443, 21	Any	Any	Any	Any	Any	None	Any	
BlueStacks Service		All	Yes	Allow	No	C:\Program Files\BlueStacks_nxt\HD-Player.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
BlueStacksAppplayerWeb		All	Yes	Allow	No	C:\Program Files\BlueStacks_nxt\BlueStacksAppplayerWeb.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
BlueStacksWeb		All	Yes	Allow	No	C:\Program Files (x86)\BlueStacks X\BlueStacksWeb.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
CefSharp.BrowserSubprocess		Public	Yes	Block	No	C:\program files\mettl\msb\app\cefsharp.browsersubprocess.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
CefSharp.BrowserSubprocess		Public	Yes	Block	No	C:\program files\mettl\msb\app\cefsharp.browsersubprocess.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
ChatGPT		Public	Yes	Block	No	C:\program files\windowsapps\openai.chatgpt-desktop_1.2025.202.0_x64__2p2nqsd0c76g0\app\chatgpt.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
ChatGPT		Public	Yes	Block	No	C:\program files\windowsapps\openai.chatgpt-desktop_1.2025.202.0_x64__2p2nqsd0c76g0\app\chatgpt.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Cloud Game		All	Yes	Allow	No	C:\Program Files (x86)\BlueStacks X\Cloud Game.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
dnplayer		All	Yes	Allow	No	D:\LDPlayer\LDPlayer9\dnplayer.exe	Any	Local subnet	Any	Any	Any	Any	Any	Any	Any	None	Any	
dnplayer		All	Yes	Allow	No	D:\LDPlayer\LDPlayer9\dnplayer.exe	Any	Local subnet	Any	Any	Any	Any	Any	Any	Any	None	Any	
explicit deny port 80		All	No	Block	No	Any	Any	Any	TCP	80	Any	Any	Any	Any	Any	None	Any	
Firefox (C:\Program Files\Mozilla Firefox)		Private	Yes	Allow	No	C:\Program Files\Mozilla Firefox\firefox.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Firefox (C:\Program Files\Mozilla Firefox)		Private	Yes	Allow	No	C:\Program Files\Mozilla Firefox\firefox.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Framework Service		All	Yes	Allow	No	C:\Program Files (x86)\ASUS\ArmouryDevice\asus_framework.exe	Any	Any	Any	Any	Any	Any	Any	Any	Any	None	Any	
Google Play Games Service		All	Yes	Allow	No	C:\Program Files\Google\Play Games\current\emulator\crosvm.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
Google Play Games Service		All	Yes	Allow	No	C:\Program Files\Google\Play Games\current\emulator\crosvm.exe	Any	Any	UDP	Any	Any	Any	Any	Any	Any	None	Any	
Java(TM) Platform SE binary		Public	Yes	Block	No	C:\program files\java\jdk-21\bin\javaw.exe	Any	Any	TCP	Any	Any	Any	Any	Any	Any	None	Any	
